,Stall_no,Market_Category,Loyalty_customer,Product_Category,Grade,Demand,Discount_avail,charges_1,charges_2 (%),Minimum_price,Maximum_price,Selling_Price,ide,year,weekofyear,month,dayofweek,hour,Stall_no_Market_Category,Stall_no_Loyalty_customer,Stall_no_Product_Category,Stall_no_Grade,Stall_no_Discount_avail,Stall_no_year,Stall_no_month,Market_Category_Stall_no,Market_Category_Loyalty_customer,Market_Category_Product_Category,Market_Category_Grade,Market_Category_Discount_avail,Market_Category_year,Market_Category_month,Loyalty_customer_Stall_no,Loyalty_customer_Market_Category,Loyalty_customer_Product_Category,Loyalty_customer_Grade,Loyalty_customer_Discount_avail,Loyalty_customer_year,Loyalty_customer_month,Product_Category_Stall_no,Product_Category_Market_Category,Product_Category_Loyalty_customer,Product_Category_Grade,Product_Category_Discount_avail,Product_Category_year,Product_Category_month,Grade_Stall_no,Grade_Market_Category,Grade_Loyalty_customer,Grade_Product_Category,Grade_Discount_avail,Grade_year,Grade_month,Discount_avail_Stall_no,Discount_avail_Market_Category,Discount_avail_Loyalty_customer,Discount_avail_Product_Category,Discount_avail_Grade,Discount_avail_year,Discount_avail_month,year_Stall_no,year_Market_Category,year_Loyalty_customer,year_Product_Category,year_Grade,year_Discount_avail,year_month,month_Stall_no,month_Market_Category,month_Loyalty_customer,month_Product_Category,month_Grade,month_Discount_avail,month_year
1182,35,84,0,1,2,74,1,264.0,15.0,3063.0,4576.0,607.2506549999999,86,1,30,1,5,21,2890,70,351,142,91,102,367,1166,142,479,109,133,143,319,35,70,1,2,1,1,1,85,202,2,6,4,4,12,136,276,4,21,7,7,23,86,320,2,11,6,4,12,79,138,2,11,6,4,6,33,21,0,1,2,1,1
1183,36,40,1,1,0,5,0,232.0,14.0,3221.0,4154.0,3924.2675340000005,201,1,25,10,2,5,2956,73,361,144,93,105,386,772,86,305,61,77,87,208,87,265,11,4,3,4,20,86,184,3,4,3,4,21,36,34,1,1,0,1,10,36,40,1,1,0,1,10,80,105,3,11,4,3,15,514,996,20,101,40,27,18
1184,12,180,1,6,0,4,0,136.0,8.0,2564.0,4887.0,3864.0935520000003,201,1,25,10,1,8,1027,25,126,48,29,35,135,2434,309,995,241,298,311,678,63,388,16,4,3,4,20,315,1044,13,24,18,19,76,12,134,1,6,0,1,10,12,177,1,6,0,1,10,56,202,3,16,4,3,15,490,1052,20,106,40,27,18
1185,1,164,0,4,3,71,0,234.0,12.0,7866.0,11417.0,9788.1993,44,1,20,9,2,15,138,2,14,7,2,3,19,2092,275,869,215,263,273,597,1,132,4,3,0,1,8,202,706,8,19,12,13,53,152,352,6,34,9,10,42,1,161,0,4,3,1,9,45,188,2,14,7,3,14,428,893,17,94,39,24,17
1186,14,201,0,4,2,94,1,266.0,11.0,5867.0,8727.640938927569,1145.8664448,205,1,34,2,2,14,1194,28,144,58,35,40,148,2944,344,1151,271,335,354,801,14,165,4,2,1,1,2,215,731,8,18,13,13,46,115,320,4,24,7,7,24,65,392,2,14,6,4,13,58,223,2,14,6,4,7,62,141,2,14,6,4,3
1187,24,181,0,2,1,91,0,157.0,16.0,1059.0,3919.6409389275696,2643.408768,194,1,25,10,1,6,2012,48,242,97,61,69,261,2420,307,988,239,296,309,676,24,147,2,1,0,1,9,124,400,4,9,6,7,32,75,233,2,12,3,4,21,24,178,0,2,1,1,10,68,203,2,12,5,3,15,502,1053,19,102,41,27,18
1188,40,194,0,6,0,59,0,105.0,5.0,4062.0,5589.0,4901.339376,204,1,30,1,0,17,3322,80,406,160,103,117,420,2739,330,1088,260,320,338,747,40,158,6,0,0,1,1,343,1056,12,24,18,19,67,40,144,0,6,0,1,1,40,191,0,6,0,1,1,84,216,2,16,4,3,6,38,37,0,6,0,0,1
1189,36,193,0,2,0,40,0,134.0,12.0,2826.0,4551.0,3740.824075,279,1,25,10,5,8,2996,72,362,144,93,105,386,2700,328,1074,258,318,335,745,36,157,2,0,0,1,9,136,411,4,8,6,7,32,36,143,0,2,0,1,10,36,190,0,2,0,1,10,80,215,2,12,4,3,15,514,1062,19,102,40,27,18
1190,16,50,1,6,0,100,0,104.0,6.0,650.0,4336.0,2540.03375,219,1,34,2,4,19,1315,33,166,64,39,46,168,801,90,324,65,80,91,212,67,274,16,4,3,4,12,319,970,13,24,18,19,68,16,43,1,6,0,1,2,16,50,1,6,0,1,2,60,113,3,16,4,3,7,64,73,3,16,4,3,3
1191,23,247,1,6,0,19,0,109.0,10.254457730228655,2631.0,4113.0,3482.6716979999997,86,1,25,10,3,6,1955,47,236,92,58,66,251,3729,429,1418,328,416,438,1022,74,452,16,4,3,4,20,326,1091,13,24,18,19,76,23,180,1,6,0,1,10,23,244,1,6,0,1,10,67,266,3,16,4,3,15,501,1094,20,106,40,27,18
1192,28,231,0,1,0,20,1,244.0,17.0,4526.0,5800.0,794.0887425,205,2,0,0,2,22,2374,56,281,112,72,82,294,3410,400,1314,307,389,414,941,28,191,1,0,1,2,0,78,282,2,4,4,5,11,28,170,0,1,1,2,0,79,408,2,11,4,5,11,123,458,4,21,8,7,16,177,334,6,31,12,10,7
1193,22,149,1,1,0,8,0,226.0,16.0,3109.0,6069.0,4821.857766,339,2,4,5,1,16,1838,45,221,88,55,64,235,2314,300,953,235,288,300,648,73,361,11,4,3,5,15,72,233,3,4,3,5,16,22,117,1,1,0,2,5,22,146,1,1,0,2,5,117,405,5,21,8,6,18,271,543,11,51,20,14,12
1194,24,212,0,4,3,52,0,209.0,10.0,2947.0,5074.0,4196.479536,204,1,34,2,4,17,2029,48,244,99,61,69,254,3135,366,1229,284,354,382,864,24,175,4,3,0,1,2,225,737,8,19,12,13,46,175,359,6,34,9,10,35,24,209,0,4,3,1,2,68,234,2,14,7,3,7,72,148,2,14,7,3,3
1195,13,2,1,3,3,87,1,391.0,14.0,1222.0,1876.0,287.1304128,205,1,34,2,1,10,1065,27,133,55,33,37,138,214,17,78,12,16,19,50,64,229,13,7,4,4,12,163,467,7,15,10,10,35,164,345,7,33,10,10,35,64,274,3,13,7,4,13,57,70,3,13,7,4,7,61,55,3,13,7,4,3
1196,5,127,1,8,0,64,0,264.9705573080967,4.0,4154.0,5346.0,4943.960999999999,205,1,25,10,3,9,435,11,58,20,12,15,62,1635,222,701,178,209,210,449,56,342,18,4,3,4,20,409,1328,17,32,23,25,98,5,101,1,8,0,1,10,5,124,1,8,0,1,10,49,159,3,18,4,3,15,483,1027,20,108,40,27,18
1197,9,62,1,1,0,45,0,287.0,13.0,2100.0,2717.0,2681.358768,279,1,25,10,2,9,747,19,91,36,21,27,104,989,111,403,81,102,113,264,60,284,11,4,3,4,20,59,197,3,4,3,4,21,9,54,1,1,0,1,10,9,62,1,1,0,1,10,53,122,3,11,4,3,15,487,1011,20,101,40,27,18
1198,38,201,0,9,2,18,1,264.9705573080967,17.0,6521.0,8382.0,1199.90549745,219,1,34,2,3,18,3163,76,389,154,99,111,400,2968,344,1156,271,335,354,801,38,165,9,2,1,1,2,493,1532,18,38,27,28,101,139,320,4,29,7,7,24,89,392,2,19,6,4,13,82,223,2,19,6,4,7,86,141,2,19,6,4,3
1199,0,127,0,5,0,10,0,316.0,9.0,5537.0,7544.0,6861.703761,257,1,19,9,6,16,39,0,5,0,0,0,8,1630,221,698,178,209,210,448,0,100,5,0,0,1,8,252,841,10,20,15,16,64,0,101,0,5,0,1,9,0,124,0,5,0,1,9,44,159,2,15,4,3,14,427,871,17,95,36,24,17
1200,2,14,1,5,0,64,0,214.0,12.0,1177.0,5138.0,3341.5371,44,1,20,9,3,11,181,5,25,8,5,6,29,264,25,111,18,21,26,75,53,241,15,4,3,4,19,254,786,11,20,15,16,64,2,12,1,5,0,1,9,2,14,1,5,0,1,9,46,82,3,15,4,3,14,429,833,18,95,36,24,17
1201,3,191,1,5,0,46,0,334.0,13.0,4367.0,6487.0,5731.144416,315,1,9,7,5,8,301,7,35,12,7,9,38,2601,325,1057,255,313,330,725,54,399,15,4,3,4,17,255,881,11,20,15,16,62,3,142,1,5,0,1,7,3,188,1,5,0,1,7,47,213,3,15,4,3,12,334,731,15,75,28,19,14
1202,47,218,1,1,0,30,0,276.0,13.0,7606.0,9045.0,8590.7892,221,2,3,5,2,15,3889,95,471,188,121,138,499,3209,377,1249,290,362,392,889,98,425,11,4,3,5,15,97,276,3,4,3,5,16,47,163,1,1,0,2,5,47,215,1,1,0,2,5,142,450,5,21,8,6,18,296,583,11,51,20,14,12
1203,7,127,1,7,0,83,0,110.0,4.0,7045.0,9852.0,8438.588928,221,2,3,5,4,12,608,15,77,28,17,22,79,1637,222,700,178,209,211,445,58,342,17,4,3,5,15,361,1176,15,28,21,23,82,7,101,1,7,0,2,5,7,124,1,7,0,2,5,102,387,5,27,8,6,18,256,525,11,57,20,14,12
1204,13,17,0,7,0,89,0,130.0,5.0,4291.0,6390.0,5394.356352000001,44,2,4,5,1,11,1074,26,137,52,32,38,141,375,30,142,21,27,34,91,13,17,7,0,0,2,5,367,1122,14,28,21,23,82,13,15,0,7,0,2,5,13,17,0,7,0,2,5,108,309,4,27,8,6,18,262,458,10,57,20,14,12
1205,39,5,1,4,2,17,0,251.0,15.0,1941.0,7285.0,4870.432908,44,1,20,9,3,10,3186,79,394,158,100,114,417,116,7,33,6,6,8,25,90,232,14,6,3,4,19,240,623,9,18,12,13,53,140,253,5,24,6,7,31,39,5,1,4,2,1,9,83,73,3,14,6,3,14,466,824,18,94,38,24,17
1206,9,138,1,5,0,25,0,251.0,9.0,2038.0,9776.0,6147.9117,44,1,20,9,2,9,761,19,95,36,21,27,103,1703,229,722,184,217,218,465,60,351,15,4,3,4,19,261,845,11,20,15,16,64,9,110,1,5,0,1,9,9,135,1,5,0,1,9,53,163,3,15,4,3,14,436,874,18,95,36,24,17
1207,7,228,1,4,0,58,0,258.0,12.0,1191.0,3439.0,2559.2950079999996,3,1,20,9,6,14,638,15,74,28,17,21,83,3288,395,1294,304,381,408,928,58,433,14,4,3,4,19,208,741,9,16,12,13,53,7,167,1,4,0,1,9,7,225,1,4,0,1,9,51,248,3,14,4,3,14,434,934,18,94,36,24,17
1208,10,157,0,9,0,97,0,595.0,15.0,3861.0,5330.0,5122.547584,376,0,32,2,0,5,846,20,109,40,24,29,106,2044,264,844,207,254,260,565,10,126,9,0,0,0,2,465,1499,18,36,26,27,101,10,122,0,9,0,0,2,10,154,0,9,0,0,2,9,32,0,9,0,0,1,58,111,2,19,4,3,2
1209,9,245,1,2,2,53,1,103.0,10.0,1087.0,3207.0,335.660436,44,1,20,9,5,10,804,19,92,38,22,27,103,3647,425,1394,326,412,433,1006,60,450,12,6,4,4,19,109,447,5,10,7,7,31,110,336,5,22,7,7,31,60,416,3,12,6,4,20,53,264,3,12,6,4,14,436,947,18,92,38,25,17
1210,39,228,1,6,0,78,0,123.0,10.254457730228655,1396.0,2714.0,2158.0515,201,1,25,10,1,8,3247,79,396,156,100,114,418,3320,395,1296,304,381,408,929,90,433,16,4,3,4,20,342,1079,13,24,18,19,76,39,167,1,6,0,1,10,39,225,1,6,0,1,10,83,248,3,16,4,3,15,517,1081,20,106,40,27,18
1211,39,120,0,2,2,26,0,120.0,14.0,605.0,1083.0,962.76705,44,1,20,9,3,9,3210,78,392,158,100,114,417,1602,211,669,172,200,202,430,39,94,2,2,0,1,8,139,370,4,10,6,7,31,140,290,4,22,6,7,31,39,117,0,2,2,1,9,83,156,2,12,6,3,14,466,869,17,92,38,24,17
1212,4,261,1,2,0,76,0,163.0,12.0,4521.0,7427.0,6082.7283,257,1,19,9,6,14,400,9,42,16,9,12,50,3854,453,1487,345,437,461,1059,55,464,12,4,3,4,19,104,457,5,8,6,7,31,4,191,1,2,0,1,9,4,258,1,2,0,1,9,48,280,3,12,4,3,14,431,959,18,92,36,24,17
1213,19,141,1,8,2,24,0,298.0,9.0,1992.0,4479.0,3527.568975,146,2,1,5,1,14,1588,39,198,78,48,55,203,1747,235,740,188,221,226,477,70,354,18,6,3,5,15,423,1333,17,34,23,26,93,120,299,5,28,6,8,27,19,138,1,8,2,2,5,114,398,5,28,10,6,18,268,537,11,58,22,14,12
1214,15,90,1,5,2,48,0,248.0,10.0,2172.0,2895.0,2766.212208,201,1,25,10,1,9,1241,31,155,62,36,43,165,1207,152,504,118,142,151,335,66,308,15,6,3,4,20,267,825,11,22,15,16,65,116,278,5,25,6,7,32,15,89,1,5,2,1,10,59,143,3,15,6,3,15,493,1020,20,105,42,27,18
1215,14,16,1,1,0,64,0,264.9705573080967,14.0,1755.0,2345.0,2270.9313,279,1,25,10,3,15,1152,29,141,56,34,40,154,340,29,127,20,25,31,90,65,243,11,4,3,4,20,64,173,3,4,3,4,21,14,14,1,1,0,1,10,14,16,1,1,0,1,10,58,84,3,11,4,3,15,492,984,20,101,40,27,18
1216,2,199,1,0,0,7,0,263.0,7.0,2233.0,10149.0,6457.684167,367,2,4,5,0,9,225,5,20,8,5,7,26,2843,341,1127,268,330,350,786,53,407,10,4,3,5,15,2,111,1,0,0,2,5,2,149,1,0,0,2,5,2,196,1,0,0,2,5,97,438,5,20,8,6,18,251,570,11,50,20,14,12
1217,19,234,0,4,3,58,0,295.0,17.0,243.0,2355.0,1585.994256,368,2,4,5,0,16,1620,38,194,79,48,55,203,3449,404,1329,311,392,417,955,19,194,4,3,0,2,5,220,746,8,19,12,14,49,170,360,6,34,9,11,38,19,231,0,4,3,2,5,114,460,4,24,11,6,18,268,592,10,54,23,14,12
1218,6,141,1,8,2,54,0,232.0,7.0,2163.0,8997.0,5778.688176,257,1,9,7,2,9,528,13,68,26,14,18,70,1735,235,740,188,221,225,479,57,354,18,6,3,4,17,410,1333,17,34,23,25,95,107,299,5,28,6,7,29,6,138,1,8,2,1,7,50,166,3,18,6,3,12,337,693,15,78,30,19,14
1219,27,145,1,0,0,43,1,262.0,14.0,1392.0,6576.0,633.6554832,262,1,36,3,5,18,2262,55,270,108,70,78,286,1841,243,762,192,232,234,497,78,358,10,4,4,4,13,27,76,1,0,1,1,3,27,115,1,0,1,1,3,78,353,3,10,4,4,14,71,170,3,10,4,4,8,126,209,5,20,8,7,5
1220,10,201,0,8,0,18,0,298.0,8.0,3609.0,5322.0,4766.593293,48,0,33,2,0,10,863,20,108,40,24,29,106,2940,344,1155,270,334,353,801,10,165,8,0,0,0,2,414,1371,16,32,23,24,90,10,151,0,8,0,0,2,10,198,0,8,0,0,2,9,54,0,8,0,0,1,58,141,2,18,4,3,2
1221,29,14,0,2,0,34,0,166.0,9.0,2001.0,7431.0,4874.0244,35,2,1,5,3,0,2393,58,292,116,73,85,309,289,24,108,18,21,27,74,29,14,2,0,0,2,5,129,321,4,8,6,8,27,29,12,0,2,0,2,5,29,14,0,2,0,2,5,124,306,4,22,8,6,18,278,455,10,52,20,14,12
1222,17,171,1,3,3,83,1,366.0,11.0,4084.0,8119.0,957.1472064,339,2,4,5,1,16,1431,35,173,71,43,50,182,2229,294,926,232,283,294,627,68,380,13,7,4,5,15,167,560,7,15,10,11,38,168,355,7,33,10,11,38,68,370,3,13,7,5,16,112,418,5,23,11,7,18,266,554,11,53,23,15,12
1223,3,0,1,6,0,34,0,117.0,5.0,2819.0,13080.0,8050.293825,221,2,4,5,0,0,246,7,36,12,7,10,36,2,1,6,0,0,2,4,54,227,16,4,3,5,15,306,935,13,24,18,20,71,3,0,1,6,0,2,5,3,0,1,6,0,2,5,98,293,5,26,8,6,18,252,443,11,56,20,14,12
1224,10,193,1,5,0,9,0,285.0,8.0,7174.0,10646.0,9201.209787,367,2,4,5,0,12,858,21,105,40,24,31,109,2680,329,1077,258,318,336,741,61,401,15,4,3,5,15,262,883,11,20,15,17,60,10,143,1,5,0,2,5,10,190,1,5,0,2,5,105,434,5,25,8,6,18,259,566,11,55,20,14,12
1225,49,163,0,7,1,34,0,264.9705573080967,2.0,4994.0,8068.0,6636.676725,44,1,20,9,2,11,4029,98,497,197,126,142,524,2090,273,862,213,261,270,586,49,131,7,1,0,1,8,403,1195,14,29,21,22,86,100,229,2,17,3,4,20,49,160,0,7,1,1,9,93,187,2,17,5,3,14,476,892,17,97,37,24,17
1226,1,225,1,7,2,82,0,167.0,11.0,833.0,4482.0,2786.705152,100,2,4,5,1,16,157,3,17,6,2,4,15,3276,390,1286,301,377,404,916,52,430,17,6,3,5,15,355,1239,15,30,21,23,82,102,327,5,27,6,8,27,1,222,1,7,2,2,5,96,455,5,27,10,6,18,250,587,11,57,22,14,12
1227,28,33,1,0,0,64,0,256.0,11.0,323.0,519.0,670.6854,339,1,20,9,5,11,2320,57,280,112,71,81,302,572,61,225,41,52,64,156,79,258,10,4,3,4,19,28,21,1,0,0,1,9,28,28,1,0,0,1,9,28,33,1,0,0,1,9,72,99,3,10,4,3,14,455,847,18,90,36,24,17
1228,21,120,1,5,2,84,0,341.0,8.0,2282.0,11697.0,7230.450304000001,205,1,25,10,3,6,1744,43,215,86,53,60,229,1584,212,672,172,200,202,431,72,335,15,6,3,4,20,273,838,11,22,15,16,65,122,290,5,25,6,7,32,21,117,1,5,2,1,10,65,156,3,15,6,3,15,499,1025,20,105,42,27,18
1229,47,195,1,2,0,12,1,128.0,9.0,1666.0,4693.0,496.5043446,297,1,32,2,3,17,3882,95,472,188,122,137,496,2794,333,1094,261,323,341,758,98,403,12,4,4,4,12,147,413,5,8,7,7,24,47,145,1,2,1,1,2,98,386,3,12,4,4,13,91,217,3,12,4,4,7,95,136,3,12,4,4,3
1230,44,14,0,0,0,12,0,337.0,17.0,1601.0,9878.0,6085.651374,177,2,4,5,2,0,3601,88,440,176,112,130,467,303,24,106,18,21,27,74,44,14,0,0,0,2,5,44,12,0,0,0,2,5,44,12,0,0,0,2,5,44,14,0,0,0,2,5,139,306,4,20,8,6,18,293,455,10,50,20,14,12
1231,35,245,1,9,2,39,0,558.0,17.0,1620.0,4437.0,3582.670875,204,2,37,4,3,1,2935,71,359,142,90,103,370,3670,425,1401,326,411,434,1004,86,450,19,6,3,5,14,490,1552,19,38,26,29,103,136,336,5,29,6,8,26,35,242,1,9,2,2,4,130,466,5,29,10,6,17,234,435,9,49,18,11,10
1232,16,181,0,1,1,38,0,257.0,17.0,2542.0,7380.0,5213.363925,44,1,20,9,2,15,1349,32,161,65,39,46,175,2414,307,987,239,296,309,675,16,147,1,1,0,1,8,66,252,2,5,3,4,20,67,233,2,11,3,4,20,16,178,0,1,1,1,9,60,203,2,11,5,3,14,443,904,17,91,37,24,17
1233,20,273,1,0,0,57,1,339.0,14.0,1214.0,2958.0,361.85719680000005,44,1,20,9,1,15,1712,41,200,80,51,57,218,4033,472,1544,361,456,478,1098,71,475,10,4,4,4,19,20,155,1,0,1,1,9,20,199,1,0,1,1,9,71,431,3,10,4,4,20,64,291,3,10,4,4,14,447,968,18,90,36,25,17
1234,1,127,0,8,0,87,1,210.0,6.0,5957.0,7477.0,1024.6834752,146,2,1,5,1,4,128,2,18,4,3,4,15,1631,221,701,178,210,211,445,1,100,8,0,1,2,5,405,1328,16,32,24,26,93,1,101,0,8,1,2,5,52,345,2,18,4,5,16,96,387,4,28,8,7,18,250,525,10,58,20,15,12
1235,27,148,1,8,2,26,0,226.0,9.0,1022.0,4478.0,2971.0338,201,1,25,10,2,5,2263,55,278,110,69,78,293,1897,249,790,197,236,242,521,78,360,18,6,3,4,20,431,1336,17,34,23,25,98,128,302,5,28,6,7,32,27,145,1,8,2,1,10,71,173,3,18,6,3,15,505,1038,20,108,42,27,18
1236,34,272,1,5,0,36,0,214.0,12.0,517.0,2568.0,1753.954125,44,1,20,9,2,16,2864,69,345,136,87,99,364,4011,470,1539,359,453,476,1092,85,474,15,4,3,4,19,286,932,11,20,15,16,64,34,198,1,5,0,1,9,34,269,1,5,0,1,9,78,290,3,15,4,3,14,461,967,18,95,36,24,17
1237,9,149,1,7,0,43,0,195.0,9.0,1231.0,2175.0,1887.3730079999998,262,1,36,3,6,12,767,19,97,36,21,27,98,2301,300,959,235,288,299,646,60,361,17,4,3,4,13,363,1187,15,28,21,22,80,9,117,1,7,0,1,3,9,146,1,7,0,1,3,53,174,3,17,4,3,8,108,211,5,27,8,6,5
1238,32,127,0,5,0,64,0,327.0,12.0,5513.0,7891.0,6966.6696,126,2,1,5,4,6,2646,64,325,128,81,94,341,1662,221,698,178,209,211,445,32,100,5,0,0,2,5,284,841,10,20,15,17,60,32,101,0,5,0,2,5,32,124,0,5,0,2,5,127,387,4,25,8,6,18,281,525,10,55,20,14,12
1239,45,156,1,0,0,20,1,311.0,10.254457730228655,1290.0,8331.0,751.50444375,44,1,20,9,1,14,3712,91,450,180,116,132,482,2037,263,830,206,252,258,564,96,367,10,4,4,4,19,45,83,1,0,1,1,9,45,121,1,0,1,1,9,96,360,3,10,4,4,20,89,180,3,10,4,4,14,472,887,18,90,36,25,17
1240,31,6,0,6,0,87,0,118.0,8.0,1372.0,5153.0,3334.393216,205,1,12,7,5,18,2547,62,316,124,78,90,332,150,8,45,7,8,11,32,31,6,6,0,0,1,7,334,941,12,24,18,19,73,31,5,0,6,0,1,7,31,6,0,6,0,1,7,75,74,2,16,4,3,12,362,658,14,76,28,19,14
1241,21,230,0,8,0,82,0,251.0,2.0,2417.0,6552.0,4668.195839999999,352,2,45,5,6,19,1780,42,218,84,53,61,225,3354,398,1311,306,386,412,937,21,190,8,0,0,2,5,425,1388,16,32,23,26,93,21,169,0,8,0,2,5,21,227,0,8,0,2,5,116,457,4,28,8,6,18,270,589,10,58,20,14,12
1242,8,0,1,8,0,6,0,221.0,7.0,2099.0,3958.0,3251.294838,100,1,9,7,1,8,654,17,88,32,19,24,91,7,1,8,0,0,1,6,59,227,18,4,3,4,17,412,1264,17,32,23,25,95,8,0,1,8,0,1,7,8,0,1,8,0,1,7,52,68,3,18,4,3,12,339,654,15,78,28,19,14
1243,20,200,1,5,0,40,0,259.0,14.0,8640.0,11768.0,10241.550975,219,1,34,2,5,22,1693,41,205,80,50,57,211,2902,343,1142,269,332,351,793,71,408,15,4,3,4,12,272,890,11,20,15,16,57,20,150,1,5,0,1,2,20,197,1,5,0,1,2,64,222,3,15,4,3,7,68,140,3,15,4,3,3
1244,46,220,0,3,2,85,0,399.0,12.0,2205.0,3513.0,3214.465408,54,1,36,3,5,12,3810,92,463,186,118,134,487,3263,381,1271,295,368,395,902,46,182,3,2,0,1,3,196,591,6,14,9,10,36,147,324,4,23,6,7,25,46,217,0,3,2,1,3,90,242,2,13,6,3,8,145,233,4,23,10,6,5
1245,0,201,0,3,0,12,0,387.0,16.0,5893.0,7504.0,7095.510378,261,1,34,2,2,19,66,0,3,0,0,0,2,2930,344,1150,270,334,354,801,0,165,3,0,0,1,2,150,580,6,12,9,10,35,0,151,0,3,0,1,2,0,198,0,3,0,1,2,44,223,2,13,4,3,7,48,141,2,13,4,3,3
1246,27,51,1,8,0,68,0,294.0,6.0,9976.0,12960.0,11651.1912,261,1,34,2,4,20,2242,55,278,108,69,78,285,837,92,336,68,82,93,218,78,275,18,4,3,4,12,431,1293,17,32,23,25,90,27,44,1,8,0,1,2,27,51,1,8,0,1,2,71,114,3,18,4,3,7,75,74,3,18,4,3,3
1247,26,40,1,9,0,70,0,578.0,8.0,6986.0,9927.0,8950.8573,204,1,34,2,4,21,2154,53,269,104,66,75,275,762,86,313,61,77,87,201,77,265,19,4,3,4,12,481,1438,19,36,26,28,101,26,34,1,9,0,1,2,26,40,1,9,0,1,2,70,105,3,19,4,3,7,74,71,3,19,4,3,3
1248,3,127,0,9,0,49,0,531.0,6.0,3732.0,5952.0,5341.5041759999995,205,1,36,3,6,18,283,6,39,12,7,9,34,1633,221,702,178,209,210,443,3,100,9,0,0,1,3,458,1483,18,36,26,28,102,3,101,0,9,0,1,3,3,124,0,9,0,1,3,47,159,2,19,4,3,8,102,207,4,29,8,6,5
1249,32,127,1,3,0,50,0,376.0,12.0,4174.0,6363.0,5614.654752,44,1,20,9,5,9,2646,65,323,128,81,93,344,1662,222,696,178,209,210,448,83,342,13,4,3,4,19,182,537,7,12,9,10,42,32,101,1,3,0,1,9,32,124,1,3,0,1,9,76,159,3,13,4,3,14,459,871,18,93,36,24,17
1250,25,239,0,4,2,76,0,242.0,12.0,2819.0,4441.0,3837.5964,204,1,31,2,6,21,2128,50,254,102,64,72,264,3588,414,1370,318,402,424,982,25,199,4,2,0,1,2,226,750,8,18,12,13,46,126,333,4,24,6,7,24,25,236,0,4,2,1,2,69,259,2,14,6,3,7,73,160,2,14,6,3,3
1251,26,149,0,1,0,51,0,209.0,13.0,2232.0,3467.0,3042.60192,86,1,25,10,5,7,2181,52,261,104,66,75,282,2318,299,953,235,288,299,652,26,119,1,0,0,1,9,76,233,2,4,3,4,21,26,117,0,1,0,1,10,26,146,0,1,0,1,10,70,174,2,11,4,3,15,504,1039,19,101,40,27,18
1252,27,148,1,2,2,6,0,147.0,10.0,643.0,4152.0,2546.6453100000003,97,1,25,10,1,5,2263,55,272,110,69,78,293,1897,249,784,197,236,242,521,78,360,12,6,3,4,20,127,385,5,10,6,7,32,128,302,5,22,6,7,32,27,145,1,2,2,1,10,71,173,3,12,6,3,15,505,1038,20,102,42,27,18
1253,31,178,1,5,0,96,0,287.0,10.0,2468.0,3901.0,3424.6446079999996,339,1,9,7,2,7,2586,63,315,124,78,90,332,2366,302,967,236,291,302,657,82,386,15,4,3,4,17,283,872,11,20,15,16,62,31,132,1,5,0,1,7,31,175,1,5,0,1,7,75,200,3,15,4,3,12,362,719,15,75,28,19,14
1254,38,228,0,4,0,87,0,268.0,10.0,1721.0,5104.0,3630.861696,205,2,17,0,0,19,3167,76,384,152,98,112,398,3319,394,1294,304,381,409,921,38,188,4,0,0,2,0,239,741,8,16,12,14,44,38,167,0,4,0,2,0,38,225,0,4,0,2,0,133,456,4,24,8,6,16,187,332,6,34,12,9,7
1255,34,127,1,9,0,39,1,620.0,6.0,4484.0,6238.0,895.3889175,54,2,43,4,5,13,2815,69,349,136,88,100,360,1664,222,702,178,210,211,444,85,342,19,4,4,5,14,489,1483,19,36,27,29,103,34,101,1,9,1,2,4,85,345,3,19,4,5,15,129,387,5,29,8,7,17,233,387,9,49,16,12,10
1256,34,189,1,9,0,14,0,642.0,16.0,3485.0,6047.0,5415.088436999999,282,1,20,9,6,9,2835,69,349,136,87,99,364,2578,321,1048,252,310,326,713,85,397,19,4,3,4,19,489,1522,19,36,26,28,108,34,141,1,9,0,1,9,34,186,1,9,0,1,9,78,211,3,19,4,3,14,461,908,18,99,36,24,17
1257,32,234,0,6,3,59,0,106.0,9.0,211.0,1550.0,980.9713439999999,371,2,45,5,6,3,2687,64,326,131,81,94,341,3456,404,1331,311,392,417,955,32,194,6,3,0,2,5,335,1082,12,27,18,20,71,183,360,6,36,9,11,38,32,231,0,6,3,2,5,127,460,4,26,11,6,18,281,592,10,56,23,14,12
1258,29,164,0,3,3,46,0,385.0,14.0,3687.0,12851.0,8610.120288,158,2,1,5,2,0,2424,58,293,119,73,85,309,2120,275,868,215,263,274,593,29,132,3,3,0,2,5,179,557,6,15,9,11,38,180,352,6,33,9,11,38,29,161,0,3,3,2,5,124,413,4,23,11,6,18,278,550,10,53,23,14,12
1259,29,127,0,3,0,37,0,362.0,16.0,2397.0,3109.0,3111.6015,81,1,20,9,6,10,2415,58,293,116,73,84,313,1659,221,696,178,209,210,448,29,100,3,0,0,1,8,179,537,6,12,9,10,42,29,101,0,3,0,1,9,29,124,0,3,0,1,9,73,159,2,13,4,3,14,456,871,17,93,36,24,17
1260,49,113,0,9,0,72,0,525.0,14.0,553.0,1009.0,1294.0191,100,2,1,5,1,20,4014,98,499,196,126,143,520,1463,188,601,148,177,184,396,49,89,9,0,0,2,5,504,1473,18,36,26,29,104,49,91,0,9,0,2,5,49,110,0,9,0,2,5,144,375,4,29,8,6,18,298,513,10,59,20,14,12
